Date,Open,Low,High,Close,Avg,Volume,Count
22.10.2019,413.45,412.55,417.40,417.40,414.35,1 440 429 558.00,9 804
21.10.2019,415.00,411.50,415.50,413.75,412.75,1 074 567 032.50,8 310
18.10.2019,417.65,414.15,417.70,415.00,415.45,727 648 760.50,5 921
17.10.2019,414.90,413.20,418.60,417.65,416.85,1 230 110 601.50,9 835
16.10.2019,413.00,410.30,415.50,414.95,412.95,1 277 534 548.50,11 103
15.10.2019,412.45,411.10,413.60,411.65,412.50,835 350 686.00,6 149
14.10.2019,411.65,410.25,414.00,413.40,412.70,1 668 503 931.00,7 074
11.10.2019,410.75,409.60,412.70,411.65,411.20,2 329 273 079.50,9 742
10.10.2019,409.95,407.05,411.60,409.00,408.65,2 079 268 520.00,16 509
09.10.2019,420.35,419.30,422.00,421.15,420.65,1 178 734 038.50,9 037
08.10.2019,418.85,418.60,421.90,419.50,420.00,1 109 370 436.00,7 834
07.10.2019,416.70,414.55,422.90,418.50,419.80,1 440 808 832.00,11 394
04.10.2019,415.30,413.10,419.20,415.00,416.55,1 218 164 184.50,9 970
03.10.2019,416.75,410.70,417.80,413.10,413.45,1 571 796 085.00,10 454
02.10.2019,420.65,415.80,422.25,417.55,418.45,1 432 681 578.00,9 008
01.10.2019,420.35,419.90,423.25,420.65,421.65,1 026 716 539.50,6 796
30.09.2019,422.20,419.30,422.50,419.30,420.70,982 098 165.50,6 977
27.09.2019,422.50,422.20,424.75,422.50,423.20,733 054 281.00,5 221
26.09.2019,424.55,422.05,425.95,422.55,423.85,901 011 928.50,7 569
25.09.2019,424.40,421.85,424.65,424.50,423.25,1 631 333 551.00,11 347
24.09.2019,431.05,423.60,431.50,425.50,426.35,1 737 329 564.50,15 483
23.09.2019,428.30,423.70,430.00,428.75,426.50,2 085 796 853.00,18 858
20.09.2019,426.80,425.05,428.30,428.30,427.20,1 311 659 269.50,5 729
19.09.2019,425.00,424.55,428.80,427.00,426.70,2 041 147 595.50,17 203
18.09.2019,428.50,423.50,429.70,426.00,426.00,1 879 383 229.50,12 978
17.09.2019,431.85,424.00,440.90,428.10,432.55,6 739 833 501.00,40 703
16.09.2019,418.50,415.05,431.30,429.70,425.15,7 471 738 463.50,43 186
13.09.2019,412.00,408.85,412.80,410.05,410.25,998 989 837.00,9 555
12.09.2019,416.15,409.40,417.30,412.05,413.15,2 283 221 926.50,20 374
11.09.2019,417.10,413.65,419.45,416.10,417.05,1 482 978 572.00,13 369
10.09.2019,423.80,416.15,423.85,418.00,418.95,1 881 392 382.00,15 989
09.09.2019,424.00,420.70,424.45,423.90,422.60,1 023 178 202.00,8 666
06.09.2019,418.05,415.90,422.90,422.90,419.80,1 584 955 085.00,14 002
05.09.2019,416.50,414.65,420.55,418.30,418.35,2 036 330 765.00,17 093
04.09.2019,411.50,411.35,415.90,414.65,414.05,1 692 162 195.50,14 372
03.09.2019,411.85,406.95,412.00,410.40,409.35,1 494 309 267.50,13 415
